,Year,Competition,Round,Rank,Name,Result
216,2015,IFSC Climbing Worldcup (L) - Imst (AUT),F,1,Romain Desgranges,57+
217,2015,IFSC Climbing Worldcup (L) - Imst (AUT),F,2,Jakob Schubert,57
218,2015,IFSC Climbing Worldcup (L) - Imst (AUT),F,3,Domen Skofic,51+
219,2015,IFSC Climbing Worldcup (L) - Imst (AUT),F,4,Adam Ondra,48.5+
220,2015,IFSC Climbing Worldcup (L) - Imst (AUT),F,5,Gautier Supper,48+
221,2015,IFSC Climbing Worldcup (L) - Imst (AUT),F,6,Sebastian Halenke,48+
222,2015,IFSC Climbing Worldcup (L) - Imst (AUT),F,7,Urban Primozic,45+
223,2015,IFSC Climbing Worldcup (L) - Imst (AUT),F,8,Thomas Joannes,34.5+
224,2015,IFSC Climbing Worldcup (L) - Stavanger (NOR),F,1,Gautier Supper,43+
225,2015,IFSC Climbing Worldcup (L) - Stavanger (NOR),F,2,Adam Ondra,40+
226,2015,IFSC Climbing Worldcup (L) - Stavanger (NOR),F,3,Romain Desgranges,39+
227,2015,IFSC Climbing Worldcup (L) - Stavanger (NOR),F,4,Jakob Schubert,36+
228,2015,IFSC Climbing Worldcup (L) - Stavanger (NOR),F,5,Stefano Ghisolfi,35+
229,2015,IFSC Climbing Worldcup (L) - Stavanger (NOR),F,6,Francesco Vettorata,34+
230,2015,IFSC Climbing Worldcup (L) - Stavanger (NOR),F,7,Domen Skofic,29+
231,2015,IFSC Climbing Worldcup (L) - Stavanger (NOR),F,8,Sebastian Halenke,23
232,2015,IFSC Climbing Worldcup (L) - Puurs (BEL),F,1,Domen Skofic,Top
233,2015,IFSC Climbing Worldcup (L) - Puurs (BEL),F,2,Jakob Schubert,50+
234,2015,IFSC Climbing Worldcup (L) - Puurs (BEL),F,3,Ramón Julian  Puigblanque,49+
235,2015,IFSC Climbing Worldcup (L) - Puurs (BEL),F,4,Gautier Supper,48+
236,2015,IFSC Climbing Worldcup (L) - Puurs (BEL),F,5,Stefano Ghisolfi,42
237,2015,IFSC Climbing Worldcup (L) - Puurs (BEL),F,6,Romain Desgranges,41
238,2015,IFSC Climbing Worldcup (L) - Puurs (BEL),F,7,Masahiro Higuchi,37+
239,2015,IFSC Climbing Worldcup (L) - Puurs (BEL),F,8,Max Rudigier,29+
240,2015,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN)",F,1,Adam Ondra,35
241,2015,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN)",F,2,Domen Skofic,31
242,2015,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN)",F,3,Sean Mccoll,28+
243,2015,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN)",F,4,Ramón Julian  Puigblanque,26+
244,2015,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN)",F,5,Jakob Schubert,22
245,2015,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN)",F,6,Sebastian Halenke,21
246,2015,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN)",F,7,Gautier Supper,21
247,2015,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN)",F,8,Minoru Nakano,10
248,2015,IFSC Climbing Worldcup (L) - Kranj (SLO),F,1,Adam Ondra,37+
249,2015,IFSC Climbing Worldcup (L) - Kranj (SLO),F,2,Sean Mccoll,37
250,2015,IFSC Climbing Worldcup (L) - Kranj (SLO),F,3,Jakob Schubert,36+
251,2015,IFSC Climbing Worldcup (L) - Kranj (SLO),F,4,Ramón Julian  Puigblanque,36+
252,2015,IFSC Climbing Worldcup (L) - Kranj (SLO),F,5,Domen Skofic,34+
253,2015,IFSC Climbing Worldcup (L) - Kranj (SLO),F,6,Romain Desgranges,33+
254,2015,IFSC Climbing Worldcup (L) - Kranj (SLO),F,7,Minoru Nakano,12+
255,2015,IFSC Climbing Worldcup (L) - Kranj (SLO),F,8,Gautier Supper,12
256,2014,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN)",F,1,Jakob Schubert,32+
257,2014,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN)",F,2,Sean Mccoll,31+
258,2014,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN)",F,3,Gautier Supper,29
259,2014,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN)",F,4,Romain Desgranges,28
260,2014,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN)",F,5,Hyunbin Min,27+
261,2014,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN)",F,6,Domen Skofic,7+
262,2014,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN)",F,7,Stefano Ghisolfi,7+
263,2014,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN)",F,8,Keiichiro Korenaga,6
264,2014,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA)",F,1,Sachi Amma,28+
265,2014,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA)",F,2,Jakob Schubert,24+
266,2014,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA)",F,3,Domen Skofic,23+
267,2014,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA)",F,4,Thomas Ballet,19+
268,2014,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA)",F,5,Romain Desgranges,16+
269,2014,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA)",F,6,Ramón Julian  Puigblanque,16+
270,2014,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA)",F,7,Magnus Midtboe,16+
271,2014,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA)",F,8,Urban Primozic,13+
272,2014,IFSC Climbing Worldcup (L) - Imst (AUT),F,1,Adam Ondra,41+
273,2014,IFSC Climbing Worldcup (L) - Imst (AUT),F,2,Sean Mccoll,39+
274,2014,IFSC Climbing Worldcup (L) - Imst (AUT),F,3,Jakob Schubert,39
275,2014,IFSC Climbing Worldcup (L) - Imst (AUT),F,4,Romain Desgranges,39
276,2014,IFSC Climbing Worldcup (L) - Imst (AUT),F,5,Gautier Supper,38+
277,2014,IFSC Climbing Worldcup (L) - Imst (AUT),F,6,Ramón Julian  Puigblanque,33+
