,Year,Competition,Round,Rank,Name,Result
115,2025,IFSC World Cup Bali,Q,54,Yong Kang Dylan Seow,54.24  9+ (53)R1 15 (55)R2
116,2025,IFSC World Cup Bali,Q,55,Joseph Johnson,54.5  9 (55)R1 19 (54)R2
117,2025,IFSC World Cup Innsbruck,Q,1,Alberto Ginés López,2.12  38+ (3)R1 45+ (1)R2
118,2025,IFSC World Cup Innsbruck,Q,2,Neo Suzuki,2.65  TOP (1)R1 44+ (5)R2
119,2025,IFSC World Cup Innsbruck,Q,3,Sorato Anraku,3.74  39+ (2)R1 44+ (5)R2
120,2025,IFSC World Cup Innsbruck,Q,4,Satone Yoshida,5.29  36 (8)R1 45 (3)R2
121,2025,IFSC World Cup Innsbruck,Q,5,Sam Avezou,6.18  34 (23)R1 45+ (1)R2
122,2025,IFSC World Cup Innsbruck,Q,6,Zento Murashita,7.42  36+ (4)R1 43+ (10)R2
123,2025,IFSC World Cup Innsbruck,Q,7,Dohyun Lee,8.26  34+ (17)R1 45 (3)R2
124,2025,IFSC World Cup Innsbruck,Q,8,Yannick Flohé,9.38  36+ (4)R1 38 (15)R2
125,2025,IFSC World Cup Innsbruck,Q,9,Toby Roberts,11.68  34+ (17)R1 44+ (5)R2
126,2025,IFSC World Cup Innsbruck,Q,9,Hannes Van Duysen,11.68  34+ (17)R1 44+ (5)R2
127,2025,IFSC World Cup Innsbruck,Q,11,Giovanni Placci,12.3  36+ (4)R1 36 (26)R2
128,2025,IFSC World Cup Innsbruck,Q,11,Putra Tri Ramadani,12.3  36+ (4)R1 36 (26)R2
129,2025,IFSC World Cup Innsbruck,Q,13,Sascha Lehmann,12.46  35+ (9)R1 38+ (13)R2
130,2025,IFSC World Cup Innsbruck,Q,14,Alexander Megos,13.64  35 (15)R1 39+ (12)R2
131,2025,IFSC World Cup Innsbruck,Q,15,Max Bertone,14.65  34+ (17)R1 40+ (11)R2
132,2025,IFSC World Cup Innsbruck,Q,16,Jonas Utelli,14.73  33+ (29)R1 44+ (5)R2
133,2025,IFSC World Cup Innsbruck,Q,17,Luka Potocar,14.78  35+ (9)R1 37+ (18)R2
134,2025,IFSC World Cup Innsbruck,Q,18,Jules Marchaland,18.88  35+ (9)R1 35+ (30)R2
135,2025,IFSC World Cup Innsbruck,Q,19,Muhammad Rizky Syahrafli Simatupang,19.77  35+ (9)R1 34+ (33)R2
136,2025,IFSC World Cup Innsbruck,Q,20,Jakub Konecny,20.9  35+ (9)R1 33 (37)R2
137,2025,IFSC World Cup Innsbruck,Q,21,Jesse Grupper,21.18  34+ (17)R1 36+ (21)R2
138,2025,IFSC World Cup Innsbruck,Q,22,Victor Guillermin,21.71  35+ (9)R1 32+ (40)R2
139,2025,IFSC World Cup Innsbruck,Q,23,Martin Stranik,22.01  34 (23)R1 37+ (18)R2
140,2025,IFSC World Cup Innsbruck,Q,24,Yannick Nagel,23.16  34+ (17)R1 36 (26)R2
141,2025,IFSC World Cup Innsbruck,Q,25,Filip Schenk,23.66  33 (34)R1 38 (15)R2
142,2025,IFSC World Cup Innsbruck,Q,26,Masahiro Higuchi,24.22  34 (23)R1 36+ (21)R2
143,2025,IFSC World Cup Innsbruck,Q,27,Hyunseung Noh,25.19  29+ (46)R1 38+ (13)R2
144,2025,IFSC World Cup Innsbruck,Q,28,Ties Vancraeynest,26.7  33+ (29)R1 36+ (21)R2
145,2025,IFSC World Cup Innsbruck,Q,29,Shion Omata,28.37  33 (34)R1 36+ (21)R2
146,2025,IFSC World Cup Innsbruck,Q,30,Colin Duffy,30.07  24+ (52)R1 38 (15)R2
147,2025,IFSC World Cup Innsbruck,Q,31,Rhys Conlon,31.0  33+ (29)R1 35+ (30)R2
148,2025,IFSC World Cup Innsbruck,Q,32,Sergey Lakhno,31.45  31 (42)R1 36+ (21)R2
149,2025,IFSC World Cup Innsbruck,Q,33,Nino Grünenfelder,33.17  31+ (39)R1 36 (26)R2
150,2025,IFSC World Cup Innsbruck,Q,34,Timo Uznik,33.31  34 (23)R1 30+ (43)R2
151,2025,IFSC World Cup Innsbruck,Q,35,Jan Stipek,35.21  31+ (39)R1 35+ (30)R2
152,2025,IFSC World Cup Innsbruck,Q,36,Guillermo Peinado Franganillo,35.5  33 (34)R1 34 (36)R2
153,2025,IFSC World Cup Innsbruck,Q,37,Joonha Shin,35.53  34 (23)R1 28+ (48)R2
154,2025,IFSC World Cup Innsbruck,Q,38,Giorgio Tomatis,35.65  33+ (29)R1 32+ (40)R2
155,2025,IFSC World Cup Innsbruck,Q,39,Chih-En Fan,36.41  34 (23)R1 26+ (52)R2
156,2025,IFSC World Cup Innsbruck,Q,40,Sebastian Halenke,37.5  19+ (73)R1 37+ (18)R2
157,2025,IFSC World Cup Innsbruck,Q,41,Paul Jenft,37.75  32+ (37)R1 33 (37)R2
158,2025,IFSC World Cup Innsbruck,Q,42,Matteo Reusa,38.17  35 (15)R1 10 (93)R2
159,2025,IFSC World Cup Innsbruck,Q,43,Samuel Butterworth,41.29  33+ (29)R1 24+ (55)R2
160,2025,IFSC World Cup Innsbruck,Q,44,Jinwei Yao,42.26  29+ (46)R1 33 (37)R2
161,2025,IFSC World Cup Innsbruck,Q,45,Felix Mader,43.99  31 (42)R1 30 (45)R2
162,2025,IFSC World Cup Innsbruck,Q,46,Peter Kuric,44.5  31+ (39)R1 28+ (48)R2
163,2025,IFSC World Cup Innsbruck,Q,47,Felipe Ho Foganholo,45.0  32+ (37)R1 25 (54)R2
164,2025,IFSC World Cup Innsbruck,Q,48,Joaquin Urrutia,45.22  29+ (46)R1 30+ (43)R2
165,2025,IFSC World Cup Innsbruck,Q,49,Dohyeon Kim,48.13  24+ (52)R1 32+ (40)R2
166,2025,IFSC World Cup Innsbruck,Q,50,Oscar Baudrand,50.16  19+ (73)R1 34+ (33)R2
167,2025,IFSC World Cup Innsbruck,Q,50,Lucas Trandafir,50.16  19+ (73)R1 34+ (33)R2
168,2025,IFSC World Cup Innsbruck,Q,52,Stefan Scherz,50.24  26+ (51)R1 28+ (48)R2
169,2025,IFSC World Cup Innsbruck,Q,53,Nicolas Collin,54.26  23+ (63)R1 29+ (46)R2
170,2025,IFSC World Cup Innsbruck,Q,54,Mikel Asier Linacisoro Molina,54.67  31 (42)R1 17+ (66)R2
171,2025,IFSC World Cup Innsbruck,Q,55,Darius Râpă,55.92  30+ (45)R1 17+ (66)R2
172,2025,IFSC World Cup Innsbruck,Q,56,Filip Matejička,56.72  28+ (49)R1 18 (65)R2
173,2025,IFSC World Cup Innsbruck,Q,57,Lukas Mokrolusky,58.22  24+ (52)R1 20 (59)R2
174,2025,IFSC World Cup Innsbruck,Q,58,Victor Baudrand,58.65  28+ (49)R1 17+ (66)R2
175,2025,IFSC World Cup Innsbruck,Q,59,Luca Malosti,59.66  24+ (52)R1 19+ (62)R2
176,2025,IFSC World Cup Innsbruck,Q,59,Lovro Črep,59.66  24+ (52)R1 19+ (62)R2
177,2025,IFSC World Cup Innsbruck,Q,61,Elliot Eriksson,59.87  23+ (63)R1 24 (56)R2
178,2025,IFSC World Cup Innsbruck,Q,62,Dimitri Flick,60.16  19 (76)R1 29 (47)R2
179,2025,IFSC World Cup Innsbruck,Q,63,Gergő Vályi ,60.93  23+ (63)R1 20+ (58)R2
180,2025,IFSC World Cup Innsbruck,Q,64,Javier Cano Blazquez,62.66  24+ (52)R1 17+ (66)R2
181,2025,IFSC World Cup Innsbruck,Q,64,Qun Tao Ke,62.66  24+ (52)R1 17+ (66)R2
182,2025,IFSC World Cup Innsbruck,Q,64,Milan Preskar,62.66  24+ (52)R1 17+ (66)R2
183,2025,IFSC World Cup Innsbruck,Q,64,Gianluca Vighetti,62.66  24+ (52)R1 17+ (66)R2
184,2025,IFSC World Cup Innsbruck,Q,68,Johannes Hofherr,64.34  21 (69)R1 20 (59)R2
185,2025,IFSC World Cup Innsbruck,Q,69,Hugo Dorval,65.12  18+ (79)R1 25+ (53)R2
186,2025,IFSC World Cup Innsbruck,Q,70,Mykyta Myronenko,66.25  19 (76)R1 23+ (57)R2
187,2025,IFSC World Cup Innsbruck,Q,71,Corentin Laporte,66.6  24+ (52)R1 16+ (75)R2
188,2025,IFSC World Cup Innsbruck,Q,72,Chi-Fung Au,66.64  20+ (70)R1 19+ (62)R2
189,2025,IFSC World Cup Innsbruck,Q,73,Cheung-Chi Shoji Chan,67.73  24 (62)R1 17 (74)R2
190,2025,IFSC World Cup Innsbruck,Q,74,Leo Avezou,67.97  19 (76)R1 20 (59)R2
191,2025,IFSC World Cup Innsbruck,Q,75,Slav Kirov,69.29  28+ (48)R2
192,2025,IFSC World Cup Innsbruck,Q,76,Azat Maikotov,71.98  22+ (66)R1 16+ (75)R2
193,2025,IFSC World Cup Innsbruck,Q,77,Wan Tong Lok,72.79  21+ (67)R1 16+ (75)R2
194,2025,IFSC World Cup Innsbruck,Q,78,Benjamin Vargas,74.57  18+ (79)R1 17+ (66)R2
195,2025,IFSC World Cup Innsbruck,Q,79,Gabriel Kern,75.18  20 (72)R1 16+ (75)R2
196,2025,IFSC World Cup Innsbruck,Q,80,Ardch Intrachupongse,79.25  18+ (79)R1 16+ (75)R2
197,2025,IFSC World Cup Innsbruck,Q,81,Michael O'Neill,79.66  21+ (67)R1 10 (93)R2
198,2025,IFSC World Cup Innsbruck,Q,82,Tamás Farkas,81.41  20+ (70)R1 10 (93)R2
199,2025,IFSC World Cup Innsbruck,Q,83,Davi Carvalho Peres,81.69  17+ (83)R1 16+ (75)R2
200,2025,IFSC World Cup Innsbruck,Q,84,Muhammed Oğuz Kağanoğlu,83.11  17 (88)R1 16+ (75)R2
201,2025,IFSC World Cup Innsbruck,Q,85,Matthaios Valsamidis,84.22  18 (82)R1 13+ (85)R2
202,2025,IFSC World Cup Innsbruck,Q,86,Asael Perez,84.5  17+ (83)R1 15 (84)R2
203,2025,IFSC World Cup Innsbruck,Q,87,Matthäus Kathan,85.67  12+ (92)R1 16+ (75)R2
204,2025,IFSC World Cup Innsbruck,Q,88,Toivo Eloranta,86.91  13 (91)R1 15+ (83)R2
205,2025,IFSC World Cup Innsbruck,Q,89,Jeronimo Boque Biscayart,87.22  17+ (83)R1 13 (89)R2
206,2025,IFSC World Cup Innsbruck,Q,90,Kasparas Siskauskas,87.74  16+ (89)R1 13+ (85)R2
207,2025,IFSC World Cup Innsbruck,Q,91,Jim Zeimes,88.23  16 (90)R1 13+ (85)R2
208,2025,IFSC World Cup Innsbruck,Q,92,Chon Hou Lei,88.43  17+ (83)R1 10+ (92)R2
209,2025,IFSC World Cup Innsbruck,Q,93,Luke Westman,89.93  12+ (92)R1 13+ (85)R2
210,2025,IFSC World Cup Innsbruck,Q,94,Ciarán Scanlon,90.33  17+ (83)R1 9 (96)R2
211,2025,IFSC World Cup Innsbruck,Q,95,Hugo Talvisalmi,91.48  12+ (92)R1 13 (89)R2
212,2025,IFSC World Cup Innsbruck,Q,96,Gunnar Egill Guðlaugsson,92.24  12+ (92)R1 11 (91)R2
213,2025,IFSC World Cup Innsbruck,Q,97,Emmanuel Onyango,96.5  3+ (96)R1 3 (97)R2
214,2025,IFSC World Cup Chamonix,Q,1,Toby Roberts,1.94  TOP (1)R1 TOP (1)R2
215,2025,IFSC World Cup Chamonix,Q,2,Sorato Anraku,2.74  TOP (1)R1 47 (3)R2
216,2025,IFSC World Cup Chamonix,Q,3,Satone Yoshida,3.24  37+ (5)R1 TOP (1)R2
217,2025,IFSC World Cup Chamonix,Q,4,Alberto Ginés López,5.0  TOP (1)R1 40+ (10)R2
218,2025,IFSC World Cup Chamonix,Q,5,Dohyun Lee,5.61  37+ (5)R1 46+ (4)R2
219,2025,IFSC World Cup Chamonix,Q,5,Luka Potocar,5.61  37+ (5)R1 46+ (4)R2
220,2025,IFSC World Cup Chamonix,Q,7,Neo Suzuki,6.42  TOP (1)R1 39+ (11)R2
